,district,total_enrollment,total_test_takers,percent_meeting_both_benchmarks,school_year_expenditure,average_daily_attendance,daily_expenditure,enrollment_k_thru_12,num_students_eligible_for_frpm,percentage_eligible_for_frpm
84,Pittsburg Unified,1809.0,542.0,35.239852398523986,140830835.49,10723.85,13132.488377774773,11345,8072,71.15028646981048
85,Kerman Unified,769.0,241.0,30.70539419087137,55517150.47,5018.86,11061.705341452043,5215,4223,80.97794822627037
86,Bishop Unified,297.0,104.0,54.80769230769231,22035265.35,1862.56,11830.633831930249,1978,1037,52.42669362992922
87,Bonita Unified,1699.0,917.0,57.470010905125406,107261273.8,9670.69,11091.377533557585,10055,3861,38.39880656389856
88,El Rancho Unified,1388.0,507.0,34.9112426035503,101714507.87,8158.97,12466.586820395221,8472,6069,71.63597733711048
89,Palos Verdes Peninsula Unified,2069.0,904.0,86.94690265486726,127056965.43,10824.85,11737.526656720416,11217,893,7.961130427030401
90,Los Banos Unified,1646.0,332.0,34.63855421686747,123537113.74,10450.78,11820.851050352221,11075,8378,75.64785553047403
91,Gonzales Unified,386.0,116.0,13.793103448275861,30370795.07,2257.99,13450.367393123974,2369,1827,77.12114816378218
92,Western Placer Unified,1505.0,288.0,61.111111111111114,74358031.53,6764.79,10991.920152732015,9334,3200,34.28326548103707
93,Jurupa Unified,2939.0,846.0,33.21513002364066,227215666.25,18355.5,12378.614924681975,19344,14098,72.88047973531845
94,Perris Union High,4429.0,1315.0,35.893536121673,122746122.8,9008.25,13625.967618571864,10893,7661,70.32956944826954
95,Vista Unified,4596.0,1008.0,64.28571428571429,268375961.4,19704.19,13620.248353269028,24198,15222,62.90602529134639
96,Linden Unified,347.0,81.0,39.50617283950617,26302785.06,2210.93,11896.706390523444,2318,1418,61.17342536669542
97,Lodi Unified,4912.0,1211.0,62.5103220478943,335315008.07,27091.33,12377.207323154676,31654,20853,65.87793011941618
98,Ripon Unified,829.0,207.0,61.35265700483092,32643980.56,3165.31,10313.043765065664,4628,1729,37.359550561797754
99,Carpinteria Unified,325.0,112.0,67.85714285714286,30542984.0,2072.64,14736.27064999228,2177,1272,58.42903077629765
100,Campbell Union High,3986.0,1545.0,75.92233009708738,106899706.23,7785.49,13730.633040438046,8271,2095,25.329464393664615
101,San Jose Unified,5225.0,2844.0,49.54289732770746,348554444.47,28193.81,12362.800361852478,31114,13281,42.68496496753873
102,Ceres Unified,2176.0,728.0,29.945054945054945,160295158.34,13122.3,12215.477343148686,14848,11914,80.23976293103449
103,Exeter Unified,477.0,104.0,42.30769230769231,32297132.11,2617.14,12340.620719564105,2730,1839,67.36263736263737
104,Esparto Unified,129.0,34.0,44.11764705882353,12549729.57,886.9,14150.106629834256,941,776,82.4654622741764
105,Durham Unified,146.0,73.0,69.86301369863014,11132391.88,997.79,11157.048958197618,1038,421,40.55876685934489
106,Paradise Unified,626.0,84.0,71.42857142857143,39503177.92,3152.85,12529.355319790033,4154,2686,64.6605681271064
107,Martinez Unified,656.0,163.0,77.30061349693251,45252516.04,3935.66,11498.075555307116,4164,1096,26.320845341018252
108,Mt. Diablo Unified,4192.0,1180.0,66.1864406779661,378275568.53,29298.72,12910.99298979614,31013,14471,46.661077612614065
109,Lake Tahoe Unified,547.0,124.0,66.12903225806451,48032847.67,3590.02,13379.548768530538,3872,2185,56.43078512396694
110,Kings Canyon Joint Unified,1394.0,419.0,30.787589498806682,117294184.14,9081.53,12915.68536799416,9865,8352,84.66294982260517
111,Central Unified,2231.0,738.0,27.235772357723576,174390715.01,14932.98,11678.225981016514,15881,11641,73.30142938102135
112,Kern High,20022.0,4659.0,44.77355655720112,515782697.33,37677.86,13689.27792953209,40340,28186,69.87109568666337
113,Lemoore Union High,1046.0,228.0,48.24561403508772,23235434.2,1812.35,12820.610919524375,2190,1116,50.95890410958904
114,Irvine Unified,5174.0,2097.0,92.56080114449213,376943898.29,34271.72,10998.686330595605,35291,6610,18.729987815590377
115,Placer Union High,1969.0,613.0,74.55138662316476,47448637.17,3679.26,12896.244671482853,4004,977,24.4005994005994
116,Galt Joint Union High,1084.0,300.0,50.333333333333336,27835247.62,2071.02,13440.356742088441,2226,1254,56.334231805929925
117,Bear Valley Unified,387.0,54.0,62.96296296296296,27423963.79,2282.28,12016.038255604044,2456,1736,70.68403908794788
118,Colton Joint Unified,3210.0,885.0,33.220338983050844,258065325.4,20829.13,12389.635352028625,22014,17092,77.64150086308713
119,Escondido Union High,4806.0,1539.0,52.30669265756985,101865134.13,6895.17,14773.404300401584,9513,5612,58.99295700620204
120,Poway Unified,5759.0,2759.0,87.1692642261689,396797404.8,35164.22,11284.123600637238,36450,6678,18.320987654320987
121,Stockton Unified,5349.0,1526.0,33.158584534731325,500026300.5,32964.89,15168.450448340644,41634,31010,74.48239419705048
122,Paso Robles Joint Unified,1139.0,276.0,62.68115942028985,78893149.23,6433.66,12262.56115958879,6844,3462,50.584453535943894
123,Orcutt Union Elementary,283.0,124.0,83.87096774193549,45824480.24,4186.78,10945.041353976088,5181,2130,41.11175448755067
124,East Side Union High,13015.0,7503.0,47.92749566839931,285829345.07,21330.1,13400.28153032569,26568,13212,49.728997289972895
125,West Sonoma County Union High,897.0,269.0,70.63197026022304,22313161.76,1706.2,13077.694150744344,1933,604,31.24676668391102
126,Cotati-Rohnert Park Unified,1096.0,237.0,53.586497890295355,70052793.76,5451.88,12849.291209637777,6166,2637,42.76678559844307
127,Oxnard Union High,8336.0,5865.0,26.649616368286445,193371793.25,15419.26,12540.925650777015,17538,10847,61.84855741817768
128,Marysville Joint Unified,1256.0,210.0,51.42857142857143,107389549.48,9072.18,11837.237519537752,10153,7973,78.52851373978135
129,Albany City Unified,569.0,261.0,90.80459770114942,46611059.59,3544.52,13150.175366481217,3682,758,20.586637696903857
130,Gridley Unified,342.0,159.0,44.65408805031446,23369909.91,1981.06,11796.669414353932,2083,1533,73.59577532405184
131,Del Norte County Unified,483.0,137.0,48.90510948905109,44698597.3,3392.97,13173.885209713024,3902,2625,67.27319323423885
132,Fortuna Union High,514.0,130.0,56.92307692307692,13456258.65,1011.23,13306.823027402274,1107,541,48.870822041553744
133,Central Union High,1952.0,439.0,45.10250569476082,52303844.74,3952.8,13232.099964582068,4150,3097,74.62650602409639
134,Delano Joint Union High,2013.0,688.0,36.48255813953488,56962787.65,4028.35,14140.476286817184,4219,3858,91.4434700165916
135,Antelope Valley Union High,10937.0,5113.0,20.770584783884217,270991264.1,19425.97,13949.947626810914,22476,14896,66.27513792489766
136,Arcadia Unified,1654.0,798.0,89.3483709273183,106247183.82,9128.98,11638.45071629032,9357,2435,26.023298065619322
137,Norwalk-La Mirada Unified,2747.0,2394.0,21.17794486215539,223590771.67,16663.21,13418.229240944573,17387,13063,75.13084488410881
138,Compton Unified,2712.0,1238.0,13.247172859450727,290278111.15,19816.21,14648.518114715174,22975,19070,83.00326441784549
139,Newport-Mesa Unified,3512.0,805.0,63.72670807453416,292042176.01,19606.46,14895.201684036792,20641,9038,43.78663824427111
140,Santa Ana Unified,8173.0,4623.0,29.82911529309972,625032698.53,44928.91,13911.592747965618,51482,41542,80.69228079717182
141,Palm Springs Unified,3559.0,992.0,34.57661290322581,299003247.04,20338.86,14701.08192101229,22691,19763,87.0962055440483
142,Sacramento City Unified,6341.0,3287.0,32.5829023425616,521831152.21,38125.12,13687.331402760174,46933,33305,70.96286195214455
143,Twin Rivers Unified,3996.0,1413.0,19.391365888181173,340385281.1,24149.91,14094.681143739253,31536,26071,82.67059868087266
144,Rialto Unified,3895.0,2113.0,23.047799337434927,324271619.14,23921.22,13555.814425016782,25066,22272,88.8534269528445
145,San Marcos Unified,3099.0,1210.0,63.388429752066116,226996969.2,20100.82,11292.920846015237,21122,7436,35.20499952655998
146,East Nicolaus Joint Union High,158.0,72.0,43.05555555555556,3400815.91,286.79,11858.209526134106,301,108,35.880398671096344
147,New Haven Unified,2006.0,696.0,66.37931034482759,124186922.85,10017.51,12396.985163977874,11281,5100,45.20875808882192
148,Oakland Unified,7159.0,2515.0,37.932405566600394,538133451.77,32801.87,16405.572358222256,50202,36625,72.9552607465838
149,Oroville Union High,1034.0,118.0,53.389830508474574,27856421.22,1981.0,14061.797688036344,2196,1656,75.40983606557377
150,Riverdale Joint Unified,266.0,87.0,32.18390804597701,20726992.18,1506.65,13757.00539607739,1563,1272,81.38195777351248
151,Tehachapi Unified,602.0,111.0,68.46846846846847,43350427.29,4029.78,10757.517107633666,4307,1880,43.6498723009055
152,Baldwin Park Unified,3529.0,766.0,35.50913838120105,166397356.72,12017.21,13846.588078264424,15949,14357,90.0181829581792
153,El Monte Union High,4397.0,1593.0,50.721908349027,121314592.88,8130.07,14921.715665424776,8642,7590,87.82689192316593
154,Inglewood Unified,1355.0,467.0,21.199143468950748,120144977.68,8201.49,14649.164685929021,11542,9960,86.29353664876105
155,Paramount Unified,2534.0,2121.0,15.275813295615276,187494282.21,14139.59,13260.23471755546,14875,14257,95.8453781512605
156,Pasadena Unified,2733.0,908.0,44.27312775330397,216140980.56,15395.84,14038.920939682408,17748,10222,57.595221996844714
157,William S. Hart Union High,8338.0,2764.0,74.67438494934876,255144957.17,21359.3,11945.380100003276,24414,7376,30.212173343163755
158,Madera Unified,2685.0,1294.0,17.697063369397217,235737618.91,18888.33,12480.596162286447,21040,18666,88.71673003802282
159,Novato Unified,1334.0,525.0,68.19047619047619,91430746.7,7120.98,12839.62975601673,7690,2788,36.25487646293888
160,Hilmar Unified,353.0,112.0,42.857142857142854,27435691.56,2249.43,12196.730531734707,2388,1330,55.69514237855946
161,Fullerton Joint Union High,6884.0,2539.0,71.83930681370619,154360657.94,13012.74,11862.27173831184,13695,6719,49.06170135085798
162,Garden Grove Unified,6990.0,3347.0,57.57394681804601,529652657.8,40854.24,12964.447699920498,42301,29015,68.5917590600695
163,Roseville Joint Union High,5064.0,1940.0,75.41237113402062,118922913.32,9797.62,12137.938940273249,10308,2726,26.44547923942569
164,Riverside Unified,6721.0,2441.0,50.47111839410078,498809655.54,38720.17,12882.424213013528,42153,27443,65.10331411761915
165,Val Verde Unified,3310.0,2752.0,16.86046511627907,235133285.57,19342.17,12156.5101314899,20141,16513,81.98699170845539
166,Redlands Unified,3549.0,2455.0,49.490835030549896,234187470.66,19876.22,11782.294151503655,21240,12512,58.90772128060263
167,Hesperia Unified,3866.0,981.0,37.410805300713555,252991214.01,20624.51,12266.532102338431,24132,16684,69.13641637659539
168,Chula Vista Elementary,487.0,286.0,22.377622377622377,284868628.54,22365.97,12736.69903608026,30135,16206,53.77799900447984
169,Fallbrook Union High,1078.0,227.0,56.82819383259912,29705169.06,2000.76,14846.942691777123,2154,1253,58.17084493964717
170,Ramona City Unified,922.0,231.0,66.66666666666667,58217694.74,5159.79,11282.958170778269,5472,2295,41.94078947368421
171,Oceanside Unified,3060.0,733.0,58.2537517053206,213083865.34,16593.23,12841.614642839279,19749,11293,57.182642159096666
172,Santa Ynez Valley Union High,453.0,153.0,72.54901960784314,11593194.09,876.6,13225.18148528405,926,259,27.96976241900648
173,Scott Valley Unified,100.0,38.0,57.89473684210526,8776308.74,633.16,13861.123160022744,668,407,60.928143712574844
174,Patterson Joint Unified,930.0,407.0,28.00982800982801,75714529.71,5728.4,13217.395731792472,6077,4619,76.0078986341945
175,Visalia Unified,4368.0,802.0,53.86533665835412,328174802.84,27668.73,11860.855299104802,29107,19742,67.82560896004397
176,Dinuba Unified,1086.0,209.0,38.27751196172249,76425914.54,6302.28,12126.708832359085,6659,5379,80.77789457876558
177,Hayward Unified,3236.0,1034.0,41.77949709864603,266964086.73,18755.2,14234.137024931752,22376,15620,69.80693600286021
178,San Lorenzo Unified,2083.0,721.0,54.230235783633844,129723029.06,9643.82,13451.415420445426,11256,7087,62.96197583511016
179,Dublin Unified,1467.0,705.0,86.80851063829788,122537246.11,11769.85,10411.113659902207,12090,1052,8.70140612076096
180,Pierce Joint Unified,216.0,59.0,33.898305084745765,15109109.81,1415.63,10673.064155181792,1479,1046,70.72346179851252
181,Liberty Union High,4127.0,1226.0,60.0326264274062,90972618.34,7762.41,11719.63582701764,8320,2345,28.185096153846157
182,Parlier Unified,481.0,117.0,19.65811965811966,43396409.98,3315.64,13088.396201035093,3471,3407,98.15615096513973
183,Corcoran Joint Unified,421.0,85.0,24.705882352941178,39711773.39,3118.53,12734.132232173492,3318,2901,87.43218806509945
184,Lassen Union High,374.0,82.0,56.09756097560975,9631137.89,724.86,13286.893869160942,787,264,33.54510800508259
